recipe_name,ingredients,cuisine,calories,rating,instructions,difficulty
Nasi Ayam Hainan,chicken rice ginger garlic sesame oil cucumber soup soy sauce chili sauce,Malaysian,780,4.8,Simmer 500g whole chicken with 2L water 5 slices ginger and 5 cloves garlic for 40 minutes then cool and chop | Cook 300g rice in 500ml strained chicken stock with 2 tbsp chicken fat 3 cloves minced garlic and 3 slices ginger | Mix 2 tbsp soy sauce 1 tbsp sesame oil and 50ml chicken stock for serving sauce | Blend 3 red chilies 2 cloves garlic 1 tsp sugar and 2 tbsp lime juice for chili sauce | Serve fragrant rice with chopped chicken hot soup cucumber slices soy mixture and chili sauce |,hard
Laksa Johor,spaghetti mackerel coconut milk tamarind spices daun kesum cucumber bean sprouts sambal,Malaysian,650,4.6,Boil 200g spaghetti until al dente then drain and set aside | Boil 250g mackerel in 500ml water until cooked then flake flesh and keep broth | Blend flaked fish with 200ml coconut milk 2 tbsp chili paste and 1 tbsp tamarind paste then simmer with fish broth 10 minutes | Arrange spaghetti in bowls and top with 30g finely sliced cucumber 30g bean sprouts and herbs including 10g daun kesum | Pour hot gravy over and add 1 tbsp sambal on top before serving |,hard
Curry Mee,egg noodles coconut milk curry paste chicken tofu puff blood cake bean sprouts mint,Malaysian,720,4.5,Boil 200g egg noodles until just soft then drain | Simmer 2 tbsp curry paste in 1 tbsp oil until fragrant then add 300ml chicken stock and 200ml coconut milk and bring to gentle boil | Add 100g chicken strips 50g tofu puffs and 50g sliced blood cake and cook 5 minutes | Blanch 50g bean sprouts in boiling water for 30 seconds | Serve noodles in bowls topped with curry soup bean sprouts and fresh mint leaves |,hard
Mee Rebus,yellow noodles potato gravy sweet potato dried shrimp curry powder tofu egg fried shallot,Malaysian,650,4.4,Boil 200g yellow noodles and drain well | Boil 200g potatoes and 100g sweet potato until soft then blend with 500ml water | Fry 2 tbsp blended dried shrimp and 1 tbsp curry powder in 2 tbsp oil until fragrant then add potato puree and simmer 10 minutes | Deep fry 100g tofu cubes until golden | Serve noodles with hot gravy topped with fried tofu 1 halved boiled egg 1 tbsp fried shallots and sliced green chili |,medium
Mee Bandung Muar,yellow noodles beef prawn egg tomato chili paste soy sauce cabbage,Malaysian,700,4.3,Boil 200g yellow noodles and drain | Stir fry 80g sliced beef and 50g peeled prawns in 1 tbsp oil until just cooked | Add 2 tbsp chili paste 2 chopped tomatoes and 400ml water then simmer 8 minutes | Season gravy with 1 tbsp soy sauce and add 50g sliced cabbage and cook 2 minutes | Pour hot gravy over noodles crack 1 egg on top and let egg set slightly before serving |,medium
Lontong Sayur,rice cake coconut milk cabbage long beans carrot tofu tempeh sambal,Malaysian,650,4.4,Cut 300g compressed rice cake into cubes | Simmer 200ml coconut milk with 300ml water 1 lemongrass stalk and 1 tbsp spice paste for 5 minutes | Add 80g sliced cabbage 50g cut long beans 50g carrot sticks 50g tofu and 50g tempeh cubes and cook until tender | Season with 1 tsp salt and 1 tsp sugar | Serve rice cake in bowls and pour hot vegetable coconut gravy over then top with 1 tbsp sambal |,medium
Soto Ayam,chicken shredded rice cake vermicelli bean sprouts celery fried shallot sambal,Malaysian,550,4.5,Boil 300g chicken with 1L water 3 cloves garlic 3 slices ginger and 2 stalks celery for 40 minutes then shred meat and keep broth | Blanch 150g rice cake cubes and 50g rice vermicelli in boiling water and drain | Reheat chicken broth and season with 1 tsp salt and 1 tsp pepper | Arrange rice cake vermicelli and 80g bean sprouts in bowls and top with shredded chicken | Pour hot soup over and garnish with 1 tbsp fried shallots celery leaves and 1 tsp sambal |,medium
Sup Ekor,beef oxtail soup carrot potato celery onion spices fried shallot,Malaysian,600,4.4,Brown 600g oxtail pieces in 1 tbsp oil in a pot | Add 1 sliced onion 2 cloves garlic 1 stick cinnamon 2 cloves and 1 star anise and fry until fragrant | Pour in 1.5L water 100g carrot chunks 100g potato chunks and 1 stalk chopped celery and bring to boil | Simmer soup for 2 hours until oxtail is tender and broth is rich | Season with 1 tsp salt and 1 tsp pepper and serve topped with 1 tbsp fried shallots and chopped celery leaves |,hard
Sup Kambing Mamak,mutton ribs spices tomato potato carrot onion milk fried shallot coriander,Malaysian,680,4.3,Brown 500g mutton ribs in 2 tbsp ghee in deep pot | Add 1 sliced onion 3 cloves garlic 1 inch ginger 1 stick cinnamon 2 star anise and 3 cardamom pods and fry until fragrant | Pour in 1.5L water 1 diced tomato 100g potato cubes and 100g carrot slices and simmer 90 minutes | Add 100ml evaporated milk and simmer 10 minutes more | Season with 1 tsp salt and 1 tsp pepper and serve hot topped with 1 tbsp fried shallots and chopped coriander |,hard
Ayam Masak Merah,chicken tomato sauce chili paste onion ginger garlic evaporated milk peas,Malaysian,720,4.7,Marinate 500g chicken pieces with 1 tsp salt and 1 tsp turmeric powder for 20 minutes | Shallow fry chicken in 4 tbsp oil until golden and set aside | In same wok sauté 1 sliced onion 3 cloves minced garlic and 1 inch sliced ginger until fragrant | Add 3 tbsp chili paste and cook 5 minutes then pour in 200ml tomato sauce and 100ml evaporated milk and simmer | Return chicken and 50g peas to sauce and cook 15 minutes until thick then serve with 250g steamed rice |,medium
Ayam Masak Kicap,chicken soy sauce sweet soy sauce cinnamon star anise onion garlic ginger chili,Malaysian,680,4.6,Heat 3 tbsp oil and brown 500g chicken pieces then set aside | In same pot fry 1 sliced onion 3 cloves minced garlic 1 inch sliced ginger 1 stick cinnamon and 2 star anise until fragrant | Add 3 tbsp soy sauce 2 tbsp sweet soy sauce and 200ml water and bring to boil | Return chicken and 2 sliced chilies to pot and simmer 20 minutes until gravy thickens | Serve hot with 250g steamed rice |,medium
Ayam Goreng Berempah,chicken curry leaves lemongrass garlic ginger coriander powder cumin powder rice flour,Malaysian,750,4.8,Blend 3 cloves garlic 1 inch ginger 2 stalks lemongrass 1 tsp coriander powder and 1 tsp cumin powder with 3 tbsp water | Marinate 600g chicken pieces with blended paste 1 tsp salt 1 tsp sugar and 2 tbsp rice flour for at least 2 hours | Heat 500ml oil in deep pan and fry a handful of curry leaves until crisp then remove | Deep fry marinated chicken in batches for 10 to 12 minutes until cooked and crispy | Drain chicken and serve topped with fried curry leaves and 250g steamed rice |,medium
Ayam Percik,chicken coconut milk chili paste lemongrass galangal turmeric sugar,Malaysian,720,4.6,Blend 3 tbsp chili paste 2 stalks lemongrass 1 inch galangal 1 inch ginger and 2 cloves garlic with 100ml water | Marinate 600g chicken with blended paste 1 tsp salt and 1 tsp turmeric powder for 1 hour | Grill chicken over medium charcoal or grill pan while basting with 200ml coconut milk mixed with 1 tbsp sugar | Continue grilling and basting for 25 to 30 minutes until chicken is cooked and slightly charred | Serve with extra 50ml heated coconut gravy and 250g steamed rice |,medium
Gulai Ayam Kampung,free range chicken coconut milk spice paste turmeric kaffir lime leaf chili,Malaysian,700,4.5,Blend 5 dried chilies soaked 3 cloves garlic 5 shallots 1 inch ginger and 1 inch turmeric with 50ml water | Fry blended paste in 2 tbsp oil until fragrant and oil separates | Add 700g free range chicken pieces and stir until coated | Pour in 400ml coconut milk 200ml water 3 kaffir lime leaves and simmer 35 minutes until chicken is tender | Season with 1 tsp salt and 1 tsp sugar then serve with 250g steamed rice |,hard
Kari Ayam Nyonya,chicken curry powder coconut milk potatoes lemongrass kaffir lime leaf chili,Malaysian,720,4.6,Marinate 600g chicken with 2 tbsp curry powder and 1 tsp salt for 30 minutes | Sauté 1 sliced onion 3 cloves minced garlic 1 inch ginger 2 stalks lemongrass and 5 dried chilies in 3 tbsp oil until fragrant | Add chicken and 200g potato chunks and stir for 3 minutes | Pour in 300ml coconut milk and 300ml water add 3 kaffir lime leaves and simmer 30 minutes | Adjust seasoning and serve hot with 250g rice |,hard
Ikan Bakar Portugis,fish fillet chili paste turmeric lime okra tomato onion banana leaf,Malaysian,520,4.5,Marinate 400g firm fish fillets with 3 tbsp chili paste 1 tsp turmeric powder 1 tbsp lime juice and 1 tsp salt for 30 minutes | Toss 80g okra slices 1 sliced tomato and 1 sliced onion with 1 tbsp oil and pinch of salt | Place marinated fish and vegetables on 2 pieces banana leaf and wrap securely | Grill parcels over medium heat for 15 to 20 minutes turning once | Serve hot with lime wedges and 200g steamed rice |,medium
Ikan Masak Asam Pedas,fish okra tomato tamarind chili paste lemongrass ginger daun kesum,Malaysian,480,4.6,Blend 3 tbsp chili paste 3 shallots 2 cloves garlic 1 inch ginger and 1 stalk lemongrass with 50ml water | Fry blended paste in 2 tbsp oil until fragrant | Add 500ml water 2 tbsp tamarind paste 2 quartered tomatoes and 80g okra and bring to boil | Add 400g fish pieces and a handful of daun kesum and simmer 10 minutes until fish is cooked | Season with 1 tsp salt and serve hot with 250g rice |,medium
Ikan Masak Tiga Rasa,fish deep fried chili sauce sweet sour sauce pineapple cucumber onion,Malaysian,600,4.4,Season 500g whole fish or fillets with 1 tsp salt and 2 tbsp corn flour | Deep fry fish in 500ml hot oil until crispy and drain | In another pan sauté 3 cloves minced garlic and 1 sliced onion in 1 tbsp oil | Add 3 tbsp chili sauce 2 tbsp tomato sauce 1 tbsp sugar 1 tbsp vinegar 50g pineapple cubes and 50g cucumber slices with 100ml water and simmer 3 minutes | Pour hot sauce over fried fish and serve immediately |,medium
Sambal Udang Petai,prawn petai chili paste tamarind onion garlic sugar oil,Malaysian,520,4.5,Peel and devein 400g prawns leaving tails on | Blanch 150g petai in boiling water for 2 minutes and drain | Fry 4 tbsp chili paste 1 sliced onion and 3 cloves minced garlic in 3 tbsp oil until fragrant | Add prawns and petai and stir fry 2 minutes | Add 1 tbsp tamarind paste mixed with 100ml water 1 tsp salt and 1 tbsp sugar and cook until gravy thickens then serve with 250g rice |,medium
Udang Masak Lemak Nenas,prawn pineapple coconut milk turmeric chili lemongrass,Malaysian,500,4.4,Blend 5 fresh chilies 3 shallots 1 clove garlic and 1 inch turmeric with 50ml water | Fry blended paste with 1 bruised lemongrass stalk in 2 tbsp oil until fragrant | Pour in 300ml coconut milk and 200ml water and bring to gentle boil | Add 400g prawns and 150g pineapple chunks and cook 5 to 7 minutes until prawns are just cooked | Season with 1 tsp salt and 1 tsp sugar and serve with 250g steamed rice |,medium
Sotong Goreng Tepung,squid flour rice flour egg salt pepper oil,Malaysian,480,4.3,Clean 400g squid and cut into rings | Mix 50g plain flour 50g rice flour 1 tsp salt and 1 tsp pepper in a bowl | Beat 1 egg and toss squid rings in egg then coat with flour mixture | Heat 500ml oil in deep pan and fry squid in batches for 2 to 3 minutes until golden | Drain on paper towels and serve hot with chili sauce and lemon wedges |,easy
Sambal Sotong,squid chili paste onion tamarind sugar tomato sauce,Malaysian,520,4.4,Clean 400g squid and cut into rings | Fry 3 tbsp chili paste 1 sliced onion and 2 cloves minced garlic in 3 tbsp oil until fragrant | Add 1 tbsp tamarind paste mixed with 150ml water and 2 tbsp tomato sauce and bring to simmer | Add squid rings and cook 5 to 7 minutes until just tender | Season with 1 tbsp sugar and 1 tsp salt and serve with 250g steamed rice |,medium
Kerabu Mangga,green mango carrot onion chili dried shrimp lime juice sugar peanuts,Malaysian,260,4.5,Julienne 200g green mango and 50g carrot into thin strips | Soak 20g dried shrimp in warm water 10 minutes then drain and roughly chop | Slice 1 small onion and 2 red chilies thinly | Mix mango carrot onion chilies and dried shrimp in large bowl | Add 2 tbsp lime juice 1 tbsp sugar 1 tsp salt and 2 tbsp crushed roasted peanuts and toss well before serving |,easy
Rojak Buah,pineapple cucumber jicama mango rojak sauce peanuts sesame seed,Malaysian,300,4.4,Cut 100g pineapple 100g cucumber 100g jicama and 100g firm mango into bite size pieces | In a bowl mix 3 tbsp shrimp paste 2 tbsp palm sugar 1 tbsp tamarind paste 1 tbsp chili paste and 2 tbsp water until thick sauce forms | Toss fruit pieces with sauce until well coated | Sprinkle 2 tbsp crushed roasted peanuts and 1 tsp toasted sesame seeds on top | Serve immediately as snack or salad |,easy
Rojak Pasembur,turnip cucumber fried tofu prawn fritter boiled egg cucumber peanut sauce,Malaysian,520,4.3,Slice 100g boiled potatoes 100g turnip 100g cucumber and 100g fried tofu into strips | Cut 1 prawn fritter weighing about 80g into pieces and slice 1 hard boiled egg | Arrange vegetables tofu fritter and egg on plate | Pour 150ml thick spicy peanut sweet potato sauce over the mixture | Serve immediately while fritter pieces are still slightly crisp |,medium
Cucur Udang,flour shrimp chives beansprout chili water oil,Malaysian,420,4.3,Mix 200g flour 1 tsp salt and 250ml water to form thick batter | Stir in 100g small shrimp 30g chopped chives 50g beansprouts and 1 sliced red chili | Heat 500ml oil in deep pan | Drop batter by heaped tablespoon into hot oil and fry 3 to 4 minutes each side until golden | Drain on paper towels and serve hot with 100ml chili sauce |,easy
Cucur Pisang,banana flour sugar baking powder water oil sesame seed,Malaysian,380,4.4,Mash 200g ripe banana in a bowl | Add 100g flour 40g sugar 1 tsp baking powder and 80ml water to form thick batter | Heat 400ml oil in deep pan over medium heat | Drop spoonfuls of batter into oil and fry 3 to 4 minutes until golden and cooked through | Drain on paper towels and serve warm as snack |,easy
Apam Balik,flour sugar egg milk baking powder crushed peanut sweet corn,Malaysian,420,4.6,Mix 150g flour 1 tsp baking powder 40g sugar 1 egg and 200ml milk into smooth batter | Heat non stick pan and lightly grease with 1 tsp oil | Pour 1 ladle about 80ml batter and spread into thin circle | Sprinkle 2 tbsp crushed peanuts 1 tbsp sugar and 2 tbsp canned sweet corn over batter | Fold pancake in half when edges crisp then remove and cut into pieces for serving |,easy
Cendol,cendol jelly coconut milk gula melaka shaved ice red bean,Malaysian,280,4.7,Boil 200ml coconut milk with 1 pandan leaf and 1 tsp salt then chill | Melt 80g gula melaka with 50ml water to form thick syrup and cool | Place 50g cendol jelly and 30g cooked red beans into each serving bowl | Fill bowl with 100g shaved ice | Pour 100ml coconut milk and 2 tbsp gula melaka syrup over ice just before serving |,easy
Ais Kacang,shaved ice red bean sweet corn grass jelly peanuts evaporated milk syrup,Malaysian,300,4.5,Place 30g cooked red beans 30g sweet corn and 30g diced grass jelly into a bowl | Top with 150g finely shaved ice | Drizzle 2 tbsp colored syrup and 2 tbsp evaporated milk over ice | Sprinkle 1 tbsp crushed roasted peanuts on top | Serve immediately as cold dessert |,easy
Bubur Cha Cha,yam sweet potato tapioca pearl coconut milk sugar pandan,Malaysian,320,4.4,Boil 50g small tapioca pearls in 500ml water until translucent then drain | Steam 150g yam cubes and 150g sweet potato cubes until just tender | Simmer 400ml coconut milk 300ml water 60g sugar and 1 knotted pandan leaf for 5 minutes | Add yam sweet potato and tapioca pearls to coconut soup and cook 3 minutes | Serve warm or chilled as dessert |,easy
Kuih Seri Muka,glutinous rice coconut milk pandan sugar salt,Malaysian,280,4.6,Soak 200g glutinous rice for 3 hours then drain | Mix rice with 150ml coconut milk 1 tsp salt and steam in lined tray for 20 minutes then press firmly | Blend 150ml coconut milk 100ml water 60g sugar 50g flour and juice from 10 pandan leaves to make green custard | Pour pandan mixture over pressed rice and steam another 25 minutes on low heat | Cool completely before cutting into squares for serving |,medium
Kuih Ketayap,flour egg coconut milk pandan grated coconut gula melaka sugar,Malaysian,260,4.5,Grate 150g coconut and cook with 60g chopped gula melaka 30ml water and 1 pandan leaf until thick then cool | Blend 100g flour 1 egg 200ml coconut milk and juice from 5 pandan leaves into thin batter | Heat small pan lightly greased with 1 tsp oil and pour 40ml batter to make thin crepe | Cook 1 to 2 minutes then flip briefly and remove | Place 1 tbsp coconut filling on crepe roll tightly and serve |,medium
Kuih Cara Manis,flour egg coconut milk sugar pandan oil,Malaysian,240,4.4,Mix 150g flour 1 egg 250ml coconut milk and juice from 5 pandan leaves into smooth batter | Heat kuih cara mould and brush each cavity with 1 tsp oil | Pour batter to fill three quarters of each cavity | Drop 1 tsp sugar into center of each batter portion | Cover mould and cook 3 to 4 minutes until set then remove kuih and serve warm |,medium
Laksam Kelantan,rice flour rolls coconut milk fish gravy herbs cucumber bean sprout,Malaysian,580,4.5,Mix 200g rice flour 50g wheat flour 1 tsp salt and 500ml water to form thin batter | Steam thin layers of batter on oiled plate then roll and slice into noodles | Boil 300g mackerel in 600ml water then flake flesh and blend with 300ml coconut milk and 2 cloves garlic and simmer 5 minutes | Place rice rolls in bowls and top with hot fish coconut gravy | Garnish with 30g sliced cucumber 30g bean sprouts and herbs before serving |,hard
Nasi Tumpang,rice fish floss chicken rendang egg cucumber banana leaf,Malaysian,780,4.4,Cook 300g rice until fluffy and cool slightly | Prepare 80g fish floss 100g chicken rendang and 1 thin omelette from 1 egg | Line cone shaped mould or rolled banana leaf with 1 sheet banana leaf | Pack layers of rice fish floss chicken rendang omelette and rice again tightly | Wrap cone and steam 10 minutes to set then serve warm |,hard
Keropok Lekor,fish mince sago flour salt sugar oil chili sauce,Malaysian,420,4.5,Blend 300g fish flesh with 100ml water until smooth | Mix fish paste with 200g sago flour 1 tsp salt and 1 tsp sugar to form dough | Roll dough into long sausages about 2cm thick | Boil rolls in pot of water until they float then drain and cool | Slice into 1cm pieces and deep fry in 500ml oil until golden then serve with 100ml chili sauce |,medium
Satay Daging,beef skewers lemongrass turmeric coriander sugar peanut sauce ketupat,Malaysian,620,4.7,Slice 500g beef thinly against grain | Blend 2 stalks lemongrass 3 cloves garlic 5 shallots 1 tsp turmeric powder 1 tsp coriander powder 2 tbsp sugar and 2 tbsp oil into paste | Marinate beef with paste and 1 tsp salt for at least 3 hours | Thread beef onto soaked bamboo skewers | Grill over charcoal for 8 to 10 minutes turning and basting with 2 tbsp oil until slightly charred then serve with 200g peanut sauce and ketupat rice cubes |,medium
Satay Kambing,lamb skewers lemongrass cumin coriander turmeric sugar peanut sauce cucumber onion,Malaysian,650,4.5,Cut 500g lamb into small cubes | Blend 2 stalks lemongrass 4 shallots 3 cloves garlic 1 tsp cumin powder 1 tsp coriander powder 1 tsp turmeric powder and 2 tbsp sugar with 3 tbsp water | Marinate lamb with paste and 1 tsp salt for 3 hours | Thread lamb onto bamboo skewers and grill over medium charcoal for 8 to 12 minutes until cooked | Serve skewers with 200g peanut sauce sliced cucumber and onion |,medium
Otak Otak,fish mince coconut milk chili paste turmeric daun kaduk banana leaf,Malaysian,380,4.4,Blend 300g fish flesh 100ml coconut milk 3 tbsp chili paste 1 tsp turmeric powder 1 egg 1 tbsp corn flour and 1 tsp salt into thick paste | Mix paste with 30g shredded daun kaduk leaves | Spoon 2 tbsp mixture onto each piece of banana leaf and fold into flat parcel | Grill parcels over charcoal or pan for 8 to 10 minutes turning once until fragrant | Serve warm as snack or side dish |,medium
Nasi Goreng Pattaya,rice chicken mixed vegetables egg soy sauce chili sauce oil,Malaysian,720,4.4,Heat 2 tbsp oil in wok and sauté 3 cloves minced garlic until fragrant | Add 100g diced chicken and cook until no longer pink | Add 250g cold cooked rice 50g mixed vegetables 1 tbsp soy sauce and 1 tbsp chili sauce and stir fry 3 minutes then set aside | Beat 2 eggs with pinch of salt and make thin omelette in large pan using 1 tsp oil | Place fried rice in center of omelette fold sides over to wrap and serve parcel on plate garnished with cucumber |,medium
Mee Kari Nyonya,yellow noodles chicken tofu puff fish ball curry paste coconut milk mint,Malaysian,700,4.5,Boil 200g yellow noodles and drain | Fry 2 tbsp curry paste in 2 tbsp oil until fragrant | Add 300ml chicken stock and 300ml coconut milk and bring to simmer | Add 100g chicken strips 50g tofu puffs and 50g fish balls and cook 8 minutes | Serve noodles in bowls topped with curry soup and fresh mint leaves and lime wedges |,medium
Yong Tau Foo,fish paste tofu bitter gourd eggplant okra chili soup sweet sauce chili sauce,Malaysian,520,4.4,Make fish paste by mixing 300g minced fish with 1 tsp salt and 1 tbsp corn flour | Stuff fish paste into 4 tofu puffs 2 bitter gourd rings 4 okra 4 chilies and 4 eggplant pieces | Bring 1L light chicken or anchovy stock to gentle boil | Poach stuffed pieces in stock for 8 to 10 minutes until cooked | Serve pieces in bowl with some soup and 2 tbsp sweet sauce and 2 tbsp chili sauce on side |,medium
Penang Hokkien Mee,egg noodles rice vermicelli prawn pork ribs chili paste kangkung fried shallot egg,Malaysian,720,4.6,Boil 300g pork ribs and 200g prawn shells in 2L water with 2 tbsp chili paste for 2 hours then strain and keep broth | Boil 150g egg noodles and 100g rice vermicelli separately and drain | Blanch 80g peeled prawns and 50g kangkung in boiling broth for 1 minute | Place noodles in bowls top with prawns 1 halved boiled egg and kangkung | Pour hot spicy broth over and garnish with 1 tbsp fried shallots and extra chili paste |,hard
Nasi Goreng Cina,rice egg carrot peas chicken garlic soy sauce oil,Malaysian,650,4.5,Heat 2 tbsp oil in a wok over high heat | Add 2 cloves minced garlic and fry 30 seconds | Add 100g diced chicken and stir fry 3 minutes until cooked | Add 50g diced carrot and 50g peas and cook 2 minutes | Add 250g cold cooked rice and stir fry 3 minutes | Season with 2 tbsp soy sauce and 1 tsp white pepper and mix well | Push rice aside and scramble 2 eggs then combine into rice | Serve hot on a plate |,medium
Nasi Goreng Belacan,rice anchovies belacan chili garlic onion long bean egg oil,Malaysian,700,4.6,Fry 50g dried anchovies in 2 tbsp oil until crispy then set aside | In same wok sauté 3 cloves minced garlic 1 sliced onion and 1 tbsp belacan with 2 tbsp chili paste for 2 minutes | Add 50g sliced long beans and stir fry 2 minutes | Add 250g cold cooked rice and toss well for 3 minutes | Season with 1 tsp salt and 1 tsp sugar and mix | Push rice aside and scramble 1 egg then mix through | Serve topped with crispy anchovies |,medium
Nasi Goreng Ikan Bilis,rice dried anchovies chili onion garlic egg soy sauce oil,Malaysian,680,4.5,Heat 3 tbsp oil and fry 60g dried anchovies until golden then remove half for garnish | Add 2 cloves minced garlic 1 sliced onion and 1 tbsp chili paste to remaining anchovies and fry 2 minutes | Add 250g cold cooked rice and stir fry 3 minutes | Season with 1 tbsp soy sauce and 1 tsp salt | Push rice aside and scramble 1 egg then mix into rice | Serve hot topped with reserved crispy anchovies |,easy
Nasi Goreng Paprik,rice chicken mixed vegetables chili paste fish sauce soy sauce garlic oil,Malaysian,720,4.5,Heat 2 tbsp oil in wok and sauté 3 cloves minced garlic until fragrant | Add 150g sliced chicken and fry 3 minutes | Stir in 2 tbsp chili paste 1 tbsp fish sauce and 1 tbsp soy sauce and cook 1 minute | Add 100g mixed vegetables and stir fry 2 minutes | Add 250g cold cooked rice and toss for 3 minutes until evenly coated | Adjust seasoning with 1 tsp sugar and 1 tsp salt if needed | Serve hot with lime wedge |,medium
Nasi Goreng USA,rice beef chicken sausage chili sauce tomato sauce mixed vegetables egg,Malaysian,850,4.4,Season 100g sliced beef and 100g sliced chicken with 1 tsp salt and 1 tsp pepper | Heat 2 tbsp oil and stir fry beef and chicken for 4 minutes | Add 50g sliced sausage and 50g mixed vegetables and cook 2 minutes | Stir in 2 tbsp chili sauce and 2 tbsp tomato sauce | Add 250g cold cooked rice and fry 3 minutes until dry | Fry 1 egg in 1 tbsp oil until sunny side up | Serve rice on plate topped with fried egg |,medium
Nasi Goreng Tom Yam,rice tom yam paste prawn squid mushroom long bean lime leaf oil,Malaysian,750,4.5,Heat 2 tbsp oil in wok and add 2 tbsp tom yam paste fry 1 minute | Add 80g peeled prawns and 80g sliced squid and stir fry 2 minutes | Add 50g sliced mushrooms 50g sliced long beans and 3 torn lime leaves and cook 2 minutes | Add 250g cold cooked rice and toss 3 minutes | Season with 1 tsp fish sauce and 1 tsp sugar | Serve hot with lime wedge |,medium
Nasi Goreng Daging Merah,rice beef chili sauce tomato sauce onion capsicum soy sauce oil,Malaysian,780,4.4,Marinate 150g sliced beef with 1 tbsp soy sauce and 1 tsp cornstarch for 15 minutes | Heat 2 tbsp oil and fry 1 sliced onion until soft | Add beef and stir fry 3 minutes | Add 50g sliced capsicum 2 tbsp chili sauce and 2 tbsp tomato sauce and cook 2 minutes | Add 250g cold cooked rice and toss 3 minutes | Adjust seasoning with 1 tsp salt and 1 tsp sugar | Serve immediately |,medium
Nasi Goreng Cili Padi,rice bird eye chili anchovies garlic onion egg soy sauce oil,Malaysian,720,4.5,Blend 6 bird eye chilies with 2 cloves garlic and 2 tbsp water | Heat 3 tbsp oil and fry 40g dried anchovies until crispy then set aside | In same wok fry blended chili paste with 1 sliced onion for 2 minutes | Add 250g cold cooked rice and stir fry 3 minutes | Season with 1 tbsp soy sauce and 1 tsp salt | Push rice aside and scramble 1 egg then mix through | Top with crispy anchovies before serving |,medium
Nasi Minyak,rice ghee evaporated milk cloves cardamom cinnamon raisin cashew fried onion,Malaysian,820,4.7,Wash 300g basmati rice and drain | Heat 2 tbsp ghee in pot and fry 2 cloves 3 cardamom pods and 1 small cinnamon stick for 1 minute | Add rice and stir 2 minutes until coated | Pour in 400ml water and 100ml evaporated milk with 1 tsp salt | Add 30g raisins and 30g cashews and cook on low heat until rice is fluffy | Top with 2 tbsp fried onions and serve with curry |,hard
Nasi Briyani Ayam,basmati rice chicken briyani spice yogurt tomato ghee onion raisin cashew,Malaysian,900,4.8,Marinate 500g chicken with 2 tbsp briyani spice 100g yogurt 1 tsp salt and 1 tbsp ginger garlic paste for 1 hour | Fry 2 sliced onions in 3 tbsp ghee until golden | Add marinated chicken and 2 chopped tomatoes and cook 10 minutes | Half cook 300g basmati rice in boiling water for 7 minutes then drain | Layer rice over chicken and sprinkle 30g raisins and 30g cashews | Add 200ml water cover pot and steam on low for 20 minutes | Fluff rice and serve hot |,hard
Nasi Briyani Kambing,basmati rice mutton briyani spice yogurt tomato ghee onion raisin cashew,Malaysian,950,4.7,Marinate 600g mutton pieces with 2 tbsp briyani spice 100g yogurt 1 tsp salt and 1 tbsp ginger garlic paste for 1 hour | Fry 2 sliced onions in 3 tbsp ghee until browned | Add mutton and 2 chopped tomatoes and cook 20 minutes adding 200ml water if needed | Parboil 300g basmati rice for 7 minutes and drain | Layer rice over mutton and sprinkle 30g raisins and 30g cashews | Add 250ml water cover and cook on low 25 minutes | Serve hot with raita |,hard
Nasi Tomato,rice tomato paste tomato puree ghee milk cloves cardamom cinnamon fried onion,Malaysian,780,4.6,Wash 300g rice and drain | Heat 2 tbsp ghee and fry 1 cinnamon stick 3 cloves and 3 cardamom pods 1 minute | Add 2 tbsp tomato paste and 100ml tomato puree and stir 2 minutes | Add rice and coat well | Pour in 450ml water and 50ml milk with 1 tsp salt | Cook on low until rice is fluffy then top with 2 tbsp fried onions | Serve with ayam masak merah |,medium
Nasi Hujan Panas,basmati rice ghee evaporated milk food coloring pandan leaf fried onion raisin cashew,Malaysian,820,4.7,Wash 300g basmati rice and drain | Heat 2 tbsp ghee in pot and fry 1 knotted pandan leaf 2 cloves and 2 cardamom pods 1 minute | Add rice and stir 2 minutes | Pour in 400ml water and 100ml evaporated milk with 1 tsp salt | When almost dry dot surface with 3 different food coloring drops and cover to steam 10 minutes | Fluff rice to mix colors then top with 30g raisins 30g cashews and 2 tbsp fried onions |,hard
Nasi Kukus Ayam Berempah,rice chicken spice flour curry leaves sambal cucumber oil,Malaysian,900,4.6,Steam 300g rice with 450ml water until fluffy | Blend 3 cloves garlic 5 shallots 1 inch ginger 1 tsp coriander powder 1 tsp cumin powder and 1 tsp fennel powder with 3 tbsp water | Marinate 600g chicken with blended paste 2 tbsp flour 1 tsp salt and a handful of curry leaves for 2 hours | Deep fry chicken in 600ml oil for 10 to 12 minutes until crispy | Serve steamed rice topped with fried chicken 2 tbsp sambal and sliced cucumber |,hard
Nasi Goreng Ikan Masin,rice salted fish garlic onion chili egg kailan soy sauce oil,Malaysian,720,4.4,Heat 2 tbsp oil and fry 40g diced salted fish until fragrant then remove half for garnish | In same wok sauté 2 cloves minced garlic 1 sliced onion and 2 sliced chilies for 1 minute | Add 50g sliced kailan stems and cook 2 minutes | Add 250g cold cooked rice and fried salted fish and stir fry 3 minutes | Season with 1 tbsp soy sauce and 1 tsp sugar | Push rice aside and scramble 1 egg then mix through | Top with reserved salted fish before serving |,medium
